Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1-Score,Test F1-Score,AUROC,Fit Status,Train Time (s),Test Time (s)
k-Nearest Neighbors,0.9450594505945059,0.9361179361179361,0.9456373589590505,0.9382357067497715,0.9450594505945059,0.9361179361179361,0.9450211567864697,0.9359822123454238,0.9733148523147505,Regular Fit,0.0020008087158203125,0.38070034980773926
Decision Tree,1.0,0.8845208845208845,1.0,0.8852604054768398,1.0,0.8845208845208845,1.0,0.8845324817698582,0.9144724552635027,Overfit,0.23567700386047363,0.0019986629486083984
Support Vector Machine,0.9278392783927839,0.9471744471744472,0.9303412021312693,0.9490974326806411,0.9278392783927839,0.9471744471744472,0.9277419324608911,0.9470296772713007,0.9826783828467893,Regular Fit,0.7559230327606201,0.3539891242980957
Random Forest,1.0,0.9373464373464373,1.0,0.9395600787001887,1.0,0.9373464373464373,1.0,0.9372525434216069,0.984676621703005,Regular Fit,1.376755714416504,0.0552518367767334
Naïve Bayes,0.9138991389913899,0.9312039312039312,0.9157923563415441,0.9326055636708492,0.9138991389913899,0.9312039312039312,0.9140412824510715,0.9313279411669486,0.9703990826429116,Regular Fit,0.01239776611328125,0.022995710372924805
